Ticker,Company,Sector,Industry,Country,Market Cap,P/E,Price
RVT,Royce Value Trust Inc.,Financial,Closed-End Fund - Equity,USA,1.15B,4.12,14.00
HEES,"H&E Equipment Services, Inc.",Services,Rental & Leasing Services,USA,897.63M,4.14,24.54
GPOR,Gulfport Energy Corporation,Basic Materials,Independent Oil & Gas,USA,1.58B,4.15,9.19
HBM,Hudbay Minerals Inc.,Basic Materials,Copper,Canada,943.19M,4.17,3.86
QD,Qudian Inc.,Technology,Information Technology Services,China,1.32B,4.19,4.15
OPHC,"OptimumBank Holdings, Inc.",Financial,Regional - Mid-Atlantic Banks,USA,6.53M,4.30,4.85
AFGE,"American Financial Group, Inc.",Financial,Property & Casualty Insurance,USA,2.26B,4.31,25.43
FG,FGL Holdings,Financial,Life Insurance,Cayman Islands,1.70B,4.37,7.93
FAM,First Trust/Aberdeen Global Opportunity Income Fund,Financial,Closed-End Fund - Debt,USA,118.24M,4.38,9.15
TURN,180 Degree Capital Corp.,Financial,Asset Management,USA,63.44M,4.40,2.06
CYD,China Yuchai International Limited,Industrial Goods,Diversified Machinery,Singapore,595.24M,4.41,14.64
TWO,Two Harbors Investment Corp.,Financial,REIT - Residential,USA,3.67B,4.41,14.78
BTU,Peabody Energy Corporation,Basic Materials,Industrial Metals & Minerals,USA,4.28B,4.43,35.69
GLQ,Clough Global Equity Fund,Financial,Asset Management,USA,145.54M,4.46,13.27
CNX,CNX Resources Corporation,Basic Materials,Independent Oil & Gas,USA,3.09B,4.47,15.61
SINO,"Sino-Global Shipping America, Ltd.",Services,Air Delivery & Freight Services,USA,17.19M,4.47,1.42
NRZ,New Residential Investment Corp.,Financial,REIT - Residential,USA,6.19B,4.48,17.94
TAIT,Taitron Components Incorporated,Services,Electronics Wholesale,USA,8.56M,4.49,1.58
GLO,Clough Global Opportunities Fund,Financial,Asset Management,USA,304.20M,4.49,9.55
SNFCA,Security National Financial Corporation,Financial,Credit Services,USA,85.22M,4.49,5.74
