Ticker,Market Cap,Div,ROA,ROE,ROI,Curr R,Quick R,LTDebt/Eq,Debt/Eq,Gross M,Profit M,Earnings,Price,Change,Volume
EEP,3.37B,13.57%,1.40%,13.00%,12.90%,0.30,-,4.66,5.07,88.10%,43.20%,9.00%,Nov 01/a,10.61,2.81%
EEQ,1.02B,13.55%,-,-,-,-,-,0.00,0.00,-,-,-,Aug 30,10.60,2.61%
USDP,284.44M,13.43%,7.20%,27.30%,11.30%,2.40,2.20,2.65,2.65,62.10%,24.50%,18.90%,Nov 07/a,10.84,2.55%
CELP,74.47M,13.33%,5.30%,26.80%,2.70%,3.10,3.10,2.43,2.43,13.10%,5.30%,2.90%,Nov 12/a,6.86,8.89%
MNDO,44.27M,13.27%,20.30%,27.20%,23.70%,4.10,4.10,0.00,0.00,64.10%,28.30%,28.30%,Nov 05/b,2.24,-0.88%
NYMT,845.11M,13.14%,0.80%,14.10%,0.80%,-,-,14.52,14.52,30.30%,24.00%,19.40%,Nov 05/a,6.15,0.99%
CVRR,2.88B,13.12%,17.40%,30.40%,11.40%,1.90,1.20,0.37,0.37,7.90%,6.60%,6.20%,Oct 24/a,19.31,0.52%
WHLRP,-,13.02%,-,-,-,-,-,-,-,-,-,-,-,17.25,-0.17%
TEO,2.18B,12.99%,-0.60%,-1.20%,23.70%,0.50,0.40,0.24,0.52,79.50%,20.10%,-0.90%,Nov 30/a,18.00,1.64%
KCAP,114.85M,12.94%,-,-,-,-,-,-,-,-,-,-,Nov 06/a,3.10,0.16%
EMO,-,12.83%,-,-,-,-,-,-,-,-,-,-,-,10.10,1.20%
ABDC,76.17M,12.79%,-,-,-,-,-,-,-,-,-,-,Nov 05/a,5.69,1.07%
ANH,433.86M,12.70%,0.60%,5.70%,1.10%,-,-,0.07,7.70,37.10%,25.80%,20.10%,Nov 08/a,4.40,-0.23%
CAPL,570.46M,12.70%,1.50%,9.10%,5.30%,0.80,0.60,4.14,4.16,7.10%,1.30%,0.60%,Nov 06/a,16.65,0.67%
OFS,143.12M,12.69%,-,-,-,-,-,-,-,-,-,-,Nov 02/b,10.82,0.93%
LMLP,-,12.67%,-,-,-,-,-,-,-,-,-,-,-,14.18,4.43%
CMFN,107.84M,12.66%,-,-,-,-,-,-,-,-,-,-,Nov 07/a,8.03,1.71%
FMO,361.50M,12.65%,-,-,-,-,-,-,-,-,-,-,-,10.38,1.76%
UNIT,3.57B,12.62%,0.40%,-1.30%,8.70%,0.20,0.20,-,-,-,30.20%,1.70%,Nov 01/a,19.19,0.95%
GLO,304.20M,12.61%,-,-,-,-,-,-,-,-,-,-,-,9.54,1.06%
OXSQ,312.77M,12.60%,-,-,-,-,-,-,-,-,-,-,Oct 30/b,6.31,-0.58%
BKCC,407.63M,12.54%,-,-,-,-,-,-,-,-,-,-,Oct 31/a,5.77,0.52%
GPP,481.33M,12.53%,61.90%,-90.80%,88.00%,1.20,1.20,-,-,-,60.20%,54.40%,Nov 07/b,15.32,1.06%
IAF,116.67M,12.48%,-,-,-,-,-,-,-,-,-,-,-,5.20,1.36%
WMC,487.51M,12.41%,1.40%,14.50%,2.20%,-,-,7.31,7.31,49.90%,35.80%,34.90%,Nov 07/a,10.02,0.35%
CNSL,925.59M,12.37%,1.30%,9.20%,1.70%,0.80,0.80,4.54,4.60,57.30%,0.90%,3.40%,Nov 01/b,12.51,-0.16%
DLNG,421.92M,12.32%,0.80%,3.30%,6.70%,2.80,2.60,3.19,3.20,79.10%,47.30%,6.00%,Dec 04/b,8.14,0.25%
PHK,1.02B,12.31%,-,-,-,-,-,-,-,-,-,-,-,8.04,2.03%
