Ticker,Market Cap,Div,ROA,ROE,ROI,Curr R,Quick R,LTDebt/Eq,Debt/Eq,Gross M,Profit M,Earnings,Price,Change,Volume
EFC,464.34M,10.68%,1.80%,9.30%,1.70%,-,-,0.47,2.84,51.80%,33.10%,51.10%,Nov 05/a,15.36,0.07%
HRZN,129.60M,10.68%,-,-,-,-,-,-,-,-,-,-,Oct 30/a,11.32,0.74%
ATTO,457.11M,10.68%,-1.50%,-5.60%,9.40%,1.50,1.50,1.29,1.48,-,4.80%,-1.10%,Nov 12/a,6.43,0.86%
NRT,65.44M,10.67%,380.30%,-,7022.10%,1.10,1.10,0.00,0.00,90.10%,90.50%,90.20%,Nov 15,7.15,0.42%
HCFT,81.05M,10.63%,-0.40%,-8.10%,0.20%,-,-,0.17,0.17,-45.30%,-,-19.60%,Nov 08/a,3.47,-0.29%
FAX,998.44M,10.61%,-,-,-,-,-,-,-,-,-,-,-,3.95,-0.13%
SRLP,567.81M,10.60%,2.50%,17.80%,7.00%,1.80,1.00,3.52,3.92,7.90%,2.10%,0.80%,Nov 07/b,25.19,0.04%
CIF,46.50M,10.59%,-,-,-,-,-,-,-,-,-,-,-,2.35,-0.42%
RC,495.10M,10.56%,2.20%,10.50%,0.80%,-,-,3.81,0.00,39.80%,11.00%,35.70%,-,15.09,-0.40%
GNL,1.48B,10.54%,0.50%,1.10%,2.80%,-,-,1.23,0.00,79.00%,31.50%,5.60%,Nov 07/b,20.04,-0.79%
SIR,1.84B,10.54%,1.60%,3.80%,3.10%,-,-,1.00,1.00,77.80%,32.10%,16.60%,Oct 29/b,19.08,-1.45%
HIHO,13.98M,10.53%,7.90%,12.30%,12.20%,2.90,2.40,0.00,0.00,35.80%,9.70%,7.90%,Nov 26/b,3.80,0.00%
PSEC,2.50B,10.53%,-,-,-,-,-,-,-,-,-,-,Nov 27/a,6.75,-1.32%
SHI,7.81B,10.52%,18.20%,26.70%,16.30%,1.60,1.10,0.00,0.05,9.00%,8.50%,8.00%,Nov 20/a,45.92,1.50%
SPH,1.41B,10.51%,3.50%,13.30%,6.20%,1.10,0.70,2.18,2.18,57.10%,11.50%,5.70%,Nov 15/b,22.81,-0.09%
DPG,-,10.51%,-,-,-,-,-,-,-,-,-,-,-,13.23,-0.68%
CTL,24.18B,10.50%,2.30%,7.80%,2.90%,1.00,1.00,1.60,1.62,53.00%,11.90%,7.60%,Nov 08/a,20.98,1.94%
GGT,204.24M,10.49%,-,-,-,-,-,-,-,-,-,-,-,8.38,-0.12%
EXG,-,10.47%,-,-,-,-,-,-,-,-,-,-,-,8.69,0.04%
ENLK,5.59B,10.43%,1.10%,4.00%,4.90%,0.70,0.60,1.38,1.53,-,6.40%,1.60%,Nov 06/a,14.75,-1.40%
KMF,-,10.43%,-,-,-,-,-,-,-,-,-,-,-,11.37,-1.25%
SJT,241.43M,10.42%,300.30%,519.60%,592.90%,-,-,0.00,0.00,-,79.00%,78.80%,Nov 08,5.13,-0.96%
THW,-,10.41%,-,-,-,-,-,-,-,-,-,-,-,13.23,-1.64%
MFV,39.13M,10.40%,-,-,-,-,-,-,-,-,-,-,-,5.42,-1.12%
JMF,-,10.40%,-,-,-,-,-,-,-,-,-,-,-,9.46,-1.66%
ARR,923.24M,10.39%,1.90%,12.80%,-,-,-,0.00,5.97,62.70%,48.30%,43.70%,Oct 31/a,22.09,0.68%
SPKEP,-,10.39%,-,-,-,-,-,-,-,-,-,-,-,21.31,1.09%
SNP,107.52B,10.36%,2.60%,5.40%,6.10%,0.80,0.40,0.20,0.36,21.50%,2.60%,1.50%,Nov 26,82.86,-0.50%
SBGL,1.44B,10.35%,0.60%,2.00%,0.70%,1.80,1.30,1.11,1.13,8.20%,1.80%,0.90%,-,2.56,-0.20%
CCD,-,10.34%,-,-,-,-,-,-,-,-,-,-,-,19.12,-1.19%
DBL,-,10.29%,-,-,-,-,-,-,-,-,-,-,-,19.56,0.62%
CGO,99.07M,10.28%,-,-,-,-,-,-,-,-,-,-,-,11.70,0.26%
TCPC,823.88M,10.28%,-,-,-,-,-,-,-,-,-,-,Nov 08/b,13.90,-0.79%
FDEU,-,10.27%,-,-,-,-,-,-,-,-,-,-,-,14.24,0.85%
NS,2.58B,10.24%,2.10%,8.00%,6.10%,0.70,0.60,2.02,2.06,65.10%,18.60%,7.40%,Nov 05/b,23.28,-0.66%
DMO,-,10.23%,-,-,-,-,-,-,-,-,-,-,-,22.19,-0.45%
DKL,765.89M,10.20%,11.00%,34.30%,14.80%,2.40,1.80,4.25,4.25,31.50%,17.60%,9.70%,Nov 06/a,30.92,-0.18%
DHY,244.17M,10.17%,-,-,-,-,-,-,-,-,-,-,-,2.36,0.00%
APU,3.51B,10.17%,3.80%,21.20%,9.50%,0.80,0.60,3.92,4.20,52.50%,13.30%,5.60%,Nov 12/a,37.04,-0.91%
GAB,1.49B,10.15%,-,-,-,-,-,-,-,-,-,-,-,5.99,1.35%
CCR,541.16M,10.15%,11.00%,28.10%,12.20%,0.60,0.40,0.78,0.80,-,18.50%,15.20%,Oct 29,20.18,-0.10%
IRS,827.01M,10.13%,5.40%,48.10%,11.60%,2.10,2.00,4.84,5.52,40.70%,85.00%,45.30%,Nov 07,13.94,2.35%
MIC,3.46B,10.13%,6.30%,16.50%,3.60%,2.40,2.40,1.08,1.10,54.60%,16.80%,26.50%,Oct 31/a,38.82,-1.67%
NMFC,1.02B,10.10%,-,-,-,-,-,-,-,-,-,-,Nov 07/a,13.47,0.07%
