Ticker,Company,Sector,Industry,Country,Market Cap,P/E,Price
HBM,Hudbay Minerals Inc.,Basic Materials,Copper,Canada,1.02B,4.52,4.29
NRZ,New Residential Investment Corp.,Financial,REIT - Residential,USA,6.25B,4.52,17.22
GLO,Clough Global Opportunities Fund,Financial,Asset Management,USA,308.07M,4.55,9.61
BGR,BlackRock Energy and Resources Trust,Financial,Closed-End Fund - Equity,USA,377.89M,4.56,12.72
HX,Hexindai Inc.,Financial,Credit Services,China,373.94M,4.57,8.02
ALEX,"Alexander & Baldwin, Inc.",Financial,Real Estate Development,USA,1.42B,4.60,19.75
ZKIN,"ZK International Group Co., Ltd.",Basic Materials,Steel & Iron,China,32.46M,4.62,2.45
SHI,Sinopec Shanghai Petrochemical Company Limited,Basic Materials,Oil & Gas Refining & Marketing,China,7.57B,4.64,44.61
JP,Jupai Holdings Limited,Financial,Asset Management,China,249.79M,4.66,8.23
PRTS,"U.S. Auto Parts Network, Inc.",Services,"Specialty Retail, Other",USA,41.90M,4.67,1.20
CIEN,Ciena Corporation,Technology,Communication Equipment,USA,4.52B,4.68,31.61
OPHC,"OptimumBank Holdings, Inc.",Financial,Regional - Mid-Atlantic Banks,USA,7.12M,4.69,4.37
BGI,Birks Group Inc.,Services,Jewelry Stores,Canada,22.20M,4.69,1.20
TAIT,Taitron Components Incorporated,Services,Electronics Wholesale,USA,8.95M,4.69,1.59
KRO,"Kronos Worldwide, Inc.",Basic Materials,Specialty Chemicals,USA,1.63B,4.70,14.30
JTA,Nuveen Tax-Advantaged Total Return Strategy Fund,Financial,Closed-End Fund - Equity,USA,163.07M,4.74,11.74
UCTT,"Ultra Clean Holdings, Inc.",Technology,Semiconductor Equipment & Materials,USA,412.07M,4.75,10.72
BOE,BlackRock Enhanced Global Dividend Trust,Financial,Closed-End Fund - Foreign,USA,701.52M,4.79,10.23
PFSI,"PennyMac Financial Services, Inc.",Financial,Mortgage Investment,USA,504.15M,4.79,20.16
MT,ArcelorMittal,Basic Materials,Steel & Iron,Luxembourg,26.17B,4.80,24.82
RMT,"Royce Micro-Cap Trust, Inc.",Financial,Closed-End Fund - Equity,USA,333.01M,4.80,8.76
FUND,"Sprott Focus Trust, Inc. - Clos",Financial,Closed-End Fund - Equity,USA,174.63M,4.82,6.73
ACLS,"Axcelis Technologies, Inc.",Technology,Semiconductor Equipment & Materials,USA,569.41M,4.82,17.70
SDR,SandRidge Mississippian Trust II,Basic Materials,Independent Oil & Gas,USA,56.22M,4.85,1.12
