Ticker,Company,Sector,Industry,Country,Market Cap,P/E,Price
CIFS,China Internet Nationwide Financial Services Inc.,Financial,Credit Services,China,36.87M,2.08,2.15
RFP,Resolute Forest Products Inc.,Consumer Goods,Paper & Paper Products,Canada,1.22B,2.12,13.44
FTSI,"FTS International, Inc.",Basic Materials,Oil & Gas Equipment & Services,USA,1.40B,2.13,13.39
DGSE,"DGSE Companies, Inc.",Services,Jewelry Stores,USA,14.20M,2.16,0.51
BDR,"Blonder Tongue Laboratories, Inc.",Technology,Communication Equipment,USA,9.76M,2.16,0.98
AABA,Altaba Inc.,Financial,Asset Management,USA,38.51B,2.25,63.60
JE,Just Energy Group Inc.,Utilities,Diversified Utilities,Canada,508.95M,2.27,3.41
SPRT,"Support.com, Inc.",Technology,Internet Software & Services,USA,51.00M,2.30,2.73
NBY,"NovaBay Pharmaceuticals, Inc.",Healthcare,Biotechnology,USA,20.83M,2.30,1.11
HEBT,"Hebron Technology Co., Ltd.",Industrial Goods,Diversified Machinery,China,9.53M,2.35,1.14
TYHT,"Shineco, Inc.",Healthcare,Drug Related Products,China,14.98M,2.36,0.85
SD,"SandRidge Energy, Inc.",Basic Materials,Oil & Gas Drilling & Exploration,USA,353.63M,2.41,9.90
OSN,"Ossen Innovation Co., Ltd.",Basic Materials,Steel & Iron,China,12.95M,2.46,1.99
KEN,Kenon Holdings Ltd.,Utilities,Foreign Utilities,Singapore,868.28M,2.50,16.13
MNK,Mallinckrodt Public Limited Company,Healthcare,Drugs - Generic,United Kingdom,2.57B,2.50,30.76
FNJN,"Finjan Holdings, Inc.",Technology,Application Software,USA,100.05M,2.53,3.75
TDF,"Templeton Dragon Fund, Inc.",Financial,Closed-End Fund - Foreign,Singapore,628.47M,2.56,18.41
LPI,"Laredo Petroleum, Inc.",Basic Materials,Independent Oil & Gas,USA,1.44B,2.57,5.81
EMMS,Emmis Communications Corporation,Services,Broadcasting - Radio,USA,56.52M,2.61,4.14
KLXE,"KLX Energy Services Holdings, Inc.",Basic Materials,Oil & Gas Equipment & Services,USA,601.91M,2.62,29.39
MDCA,MDC Partners Inc.,Services,Marketing Services,Canada,179.40M,2.64,3.12
KODK,Eastman Kodak Company,Consumer Goods,Electronic Equipment,USA,123.47M,2.73,2.87
BTI,British American Tobacco p.l.c.,Consumer Goods,Cigarettes,United Kingdom,105.84B,2.74,45.16
GTX,Garrett Motion Inc.,Consumer Goods,Auto Parts,Switzerland,1.07B,2.75,14.00
INFI,"Infinity Pharmaceuticals, Inc.",Healthcare,Biotechnology,USA,139.36M,2.84,2.49
SORL,"SORL Auto Parts, Inc.",Consumer Goods,Auto Manufacturers - Major,China,74.59M,2.86,3.93
APF,Morgan Stanley Asia-Pacific Fun,Financial,Closed-End Fund - Foreign,USA,209.16M,2.88,15.93
HMG,"HMG/Courtland Properties, Inc.",Financial,REIT - Retail,USA,13.86M,2.90,14.00
HCLP,Hi-Crush Partners LP,Basic Materials,Industrial Metals & Minerals,USA,686.70M,2.96,6.21
VHI,"Valhi, Inc.",Basic Materials,Chemicals - Major Diversified,USA,701.76M,3.00,2.17
REGI,"Renewable Energy Group, Inc.",Basic Materials,Oil & Gas Refining & Marketing,USA,1.01B,3.01,24.93
LIVE,Live Ventures Incorporated,Technology,Internet Information Providers,USA,14.70M,3.06,7.54
NVFY,"Nova LifeStyle, Inc.",Consumer Goods,Home Furnishings & Fixtures,USA,33.32M,3.08,1.18
CEPU,Central Puerto S.A.,Utilities,Electric Utilities,Argentina,15.86B,3.10,10.54
DQ,Daqo New Energy Corp.,Technology,Semiconductor Equipment & Materials,China,338.96M,3.12,28.06
RYAM,Rayonier Advanced Materials Inc.,Basic Materials,Chemicals - Major Diversified,USA,720.43M,3.14,14.30
HPJ,"Highpower International, Inc.",Industrial Goods,Industrial Electrical Equipment,China,37.05M,3.20,2.36
